StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6a,Q6b,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8,Q9,Q10,Q11,sentiment_score,sentiment_label
2025-11-10 16:03:20,2025-11-10 16:04:19,IP Address,76.178.178.102,100,59,True,2025-11-10 16:04:20,R_6PdTsPI9pO57I9w,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,,Gemini (Google),,Claude (Anthropic),,Daily,Daily,Writing or debugging code,"Writing essays, reports, or other text","Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,,Significantly increased it,"I dont want artists to be replaced with AI, it should only be used for science, and engineering. ",Senior,Voiland College of Engineering and Architecture,-0.0572,Negative
2025-11-10 16:11:48,2025-11-10 16:12:22,IP Address,69.166.44.5,100,34,True,2025-11-10 16:12:23,R_5gLe4XYYV2zCcLt,,,,,46.7314,-117.1733,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,No,,,,,,,,,,,,,,,,,,Junior,"College of Agricultural, Human, and Nat. Resource Sciences",0.0,Neutral
2025-11-10 16:11:20,2025-11-10 16:14:50,IP Address,50.52.104.61,100,209,True,2025-11-10 16:14:50,R_3WUurYoeVZxoYsE,,,,,46.7331,-116.9899,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),,Copilot (Microsoft/GitHub),,,Multiple times a week,Daily,,,"Finding articles, links, or resources",,Understanding a complex topic or concept,Writing emails,,Slightly increased it,"I think it’s a great tool. It’s way smarter than we are. There is a difference between copying and pasting what chatGPT says and using it as an advanced tool to narrow down your research or point you in the right direction. I feel like with its invention, if you aren’t using it you are behind",Senior,College of Education,0.891,Positive
2025-11-10 16:15:32,2025-11-10 16:17:46,IP Address,76.178.178.102,100,134,True,2025-11-10 16:17:46,R_70CWdzVcMrFGctl,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,About once a week,ChatGPT (OpenAI),Gemini (Google),,,,Multiple times a week,1-3 times a month,,,"Finding articles, links, or resources",,Understanding a complex topic or concept,,,No change,The amount of people relying on it to learn from instead of class. Also the environment impact from so many students and people in society using it everyday,Senior,Voiland College of Engineering and Architecture,0.0,Neutral
2025-11-10 16:26:30,2025-11-10 16:27:52,IP Address,99.69.85.73,100,81,True,2025-11-10 16:27:52,R_5uDQxN1bUbHcBKs,,,,,38.5848,-90.2996,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),Gemini (Google),Copilot (Microsoft/GitHub),,,Daily,Multiple times a week,Writing or debugging code,,"Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,Video/Image generation,Slightly decreased it,,Senior,Carson College of Business,0.0,Neutral
2025-11-10 16:26:05,2025-11-10 16:28:05,IP Address,172.56.203.157,100,119,True,2025-11-10 16:28:05,R_1Vm3KxBK1u3A0ZE,,,,,47.7027,-117.3702,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,Yes,About once a week,ChatGPT (OpenAI),,Copilot (Microsoft/GitHub),,,About once a week,1-3 times a month,,,,Brainstorming ideas,Understanding a complex topic or concept,,Video/Image generation,Slightly increased it,One concern for me in education would be that it makes students be more lazier.,Freshman,Carson College of Business,-0.5563,Negative
2025-11-10 16:27:57,2025-11-10 16:28:57,IP Address,174.246.21.187,100,60,True,2025-11-10 16:28:57,R_30V1dSo3ce2fq7c,,,,,47.6109,-122.3303,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),Gemini (Google),Copilot (Microsoft/GitHub),,,Daily,Daily,,"Writing essays, reports, or other text","Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,Writing emails,Video/Image generation,Significantly increased it,Incredibly worrying and exciting. ,Senior,College of Education,0.1952,Positive
2025-11-10 16:29:42,2025-11-10 16:30:52,IP Address,174.231.132.26,100,69,True,2025-11-10 16:30:52,R_1LYFn0zLg0GgObh,,,,,47.6109,-122.3303,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),Gemini (Google),,,,Daily,Daily,Writing or debugging code,"Writing essays, reports, or other text","Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,Writing emails,Video/Image generation,Significantly increased it,Saved my life,Sophomore,Carson College of Business,0.4215,Positive
2025-11-10 16:29:25,2025-11-10 16:31:34,IP Address,68.234.244.112,100,128,True,2025-11-10 16:31:34,R_5sKT15XCPLpNyh3,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),Gemini (Google),,,Other,Multiple times a week,1-3 times a month,Writing or debugging code,,,,,,,Significantly increased it,"It may lead to a lack of knowledge as people begin to rely on it heavily. If used correctly it can be beneficial, but when it replaces learning it becomes dangerous.",Senior,Voiland College of Engineering and Architecture,-0.5927,Negative
2025-11-10 16:30:34,2025-11-10 16:31:43,IP Address,68.234.244.46,100,69,True,2025-11-10 16:31:44,R_7wuiR0GG3yQ4Tq8,,,,,46.7314,-117.1733,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),,,,,Multiple times a week,About once a week,,,"Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,,Slightly increased it,I think it is useful as long as you know how and when to use it,Senior,College of Arts and Sciences,0.4404,Positive
2025-11-10 16:31:37,2025-11-10 16:32:40,IP Address,69.166.46.178,100,62,True,2025-11-10 16:32:40,R_3DBC0FAgiOc4LM0,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),,,,,Daily,Multiple times a week,Writing or debugging code,"Writing essays, reports, or other text","Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,Writing emails,,Significantly increased it,,Senior,Voiland College of Engineering and Architecture,0.0,Neutral
2025-11-10 16:24:50,2025-11-10 16:33:55,IP Address,172.56.203.230,100,545,True,2025-11-10 16:33:56,R_6jWkWm9n830Hd12,,,,,47.7027,-117.3702,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),,,,,Multiple times a week,About once a week,,,"Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,,Slightly increased it,"I feel that the increasing use of LLM’s, both in our education systems and in society, bring both positive and negative impacts that require us to apply an ethical decision making analysis to each of their uses respectively. We are very aware of the ethical problems formed from LLM’s used in education such as plagiarism/cheating, inaccurate/misleading information, and the overall bypassing of this fundamental learning skills. Though, at the same time, we must be aware of the positive outcomes they bring to society. This includes learning complex topics, summarizing work, promote creativity and brainstorming, etc.",Sophomore,Carson College of Business,0.9325,Positive
2025-11-10 16:32:06,2025-11-10 16:34:01,IP Address,98.146.197.46,100,114,True,2025-11-10 16:34:01,R_31FaIbIX9DA8SXg,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),Gemini (Google),,,Other,About once a week,Never,,,,,Understanding a complex topic or concept,,,Slightly decreased it,,Junior,"College of Agricultural, Human, and Nat. Resource Sciences",0.0,Neutral
2025-11-10 16:40:28,2025-11-10 16:41:48,IP Address,47.231.116.138,100,80,True,2025-11-10 16:41:48,R_1iWdmXtMY3tgyBz,,,,,46.7314,-117.1733,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),,Copilot (Microsoft/GitHub),,,Multiple times a week,Multiple times a week,,,"Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,,Significantly increased it,"I think it’s important! I think AI can be used it really beneficial ways, and I understand it’s scary but people said the same thing about the internet when it came out. I just think we need to be careful and establish a system where everyone is happy ",Senior,College of Arts and Sciences,0.8243,Positive
2025-11-10 16:42:40,2025-11-10 16:44:20,IP Address,69.166.46.179,100,99,True,2025-11-10 16:44:20,R_5GvaWmpfJJWtgD7,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Never,,Gemini (Google),,,,Never,About once a week,,,"Finding articles, links, or resources",,,,,No change,They aren’t very good at anything ,Senior,Voiland College of Engineering and Architecture,0.4927,Positive
2025-11-10 16:46:38,2025-11-10 16:47:57,IP Address,104.28.116.127,100,78,True,2025-11-10 16:47:57,R_58VpjERvjBdYISZ,,,,,47.6597,-117.4291,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),Gemini (Google),,,,Multiple times a week,Multiple times a week,Writing or debugging code,,"Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,,Slightly increased it,I feel like people may become to depends on them which will negatively impact society as a whole,Senior,Voiland College of Engineering and Architecture,0.3612,Positive
2025-11-10 16:49:43,2025-11-10 16:50:16,IP Address,50.37.80.49,100,32,True,2025-11-10 16:50:16,R_7O6yH2vguCGdhJO,,,,,46.2532,-119.2864,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,No,,,,,,,,,,,,,,,,,,Junior,College of Arts and Sciences,0.0,Neutral
2025-11-10 16:48:31,2025-11-10 16:50:25,IP Address,174.215.112.16,100,113,True,2025-11-10 16:50:25,R_6ycty0Jp8tbOyNH,,,,,47.5415,-122.393,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),Gemini (Google),,,,About once a week,Multiple times a week,,,"Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,,,Slightly increased it,Lower quality work in all aspects. Can be beneficial but is usually used as a crutch.,Senior,College of Arts and Sciences,0.09,Positive
2025-11-10 16:49:27,2025-11-10 16:51:56,IP Address,107.122.81.92,100,149,True,2025-11-10 16:51:56,R_7BGqYopGaTkGIOR,,,,,47.6109,-122.3303,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),Gemini (Google),Copilot (Microsoft/GitHub),,,Daily,1-3 times a month,,"Writing essays, reports, or other text",,Brainstorming ideas,Understanding a complex topic or concept,,,Significantly increased it,"I think it’s a great tool that helps students learn and understand material better if used correctly, I don’t think it’s wrong to ask it to analyze text and summarize main ideas, or to ask it how to solve a problem. ",Senior,Other / I don't know,0.6808,Positive
2025-11-10 16:59:33,2025-11-10 17:01:52,IP Address,69.166.46.174,100,139,True,2025-11-10 17:01:52,R_3dnG47myKxJMZDt,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Never,,,Copilot (Microsoft/GitHub),,,Never,Never,,,"Finding articles, links, or resources",,,,,No change,"I hate it, I used them very briefly when I was in a different college two years ago and ultimately stopped using them quickly. I can’t stand LLMs. Some concepts they make easier but more often then not they can leave users confused about a subject matter that the LLM thinks it found info on but isn’t actually useful.",Junior,"College of Agricultural, Human, and Nat. Resource Sciences",0.0956,Positive
2025-11-10 17:05:14,2025-11-10 17:07:50,IP Address,69.166.46.173,100,156,True,2025-11-10 17:07:50,R_3f6SLdtIDxoE8vf,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),,,,,Multiple times a week,Multiple times a week,,"Writing essays, reports, or other text",,Brainstorming ideas,Understanding a complex topic or concept,Writing emails,,No change,I think we are moving towards an Ai world and should be taken advantage of but also with caution ,Junior,College of Arts and Sciences,0.128,Positive
2025-11-10 17:07:01,2025-11-10 17:08:51,IP Address,69.166.44.8,100,110,True,2025-11-10 17:08:52,R_1Jce2fKhQWDt8jf,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),,Copilot (Microsoft/GitHub),,,Daily,Daily,Writing or debugging code,,"Finding articles, links, or resources",,Understanding a complex topic or concept,,Video/Image generation,Significantly increased it,That LLM’s will impact the generation that is currently in elementary/ middle school and they won’t have a true grasp of the core concepts that the rest of their education builds on ,Junior,Voiland College of Engineering and Architecture,0.4215,Positive
2025-11-10 17:19:34,2025-11-10 17:22:04,IP Address,107.116.255.104,100,149,True,2025-11-10 17:22:04,R_7EBc6NBSWDBgev9,,,,,47.6109,-122.3303,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,About once a week,ChatGPT (OpenAI),Gemini (Google),,,,1-3 times a month,About once a week,,,,Brainstorming ideas,Understanding a complex topic or concept,,,No change,"I think there are ways to integrate it in the classroom to ensure every student does their work,but we should ultimately do away with ai",Junior,College of Arts and Sciences,0.3818,Positive
2025-11-10 17:40:45,2025-11-10 17:44:37,IP Address,64.126.188.22,100,231,True,2025-11-10 17:44:37,R_6oPchPQnTCFzaH7,,,,,46.7314,-117.1733,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Multiple times a week,ChatGPT (OpenAI),Gemini (Google),Copilot (Microsoft/GitHub),,,Multiple times a week,About once a week,Writing or debugging code,"Writing essays, reports, or other text","Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,Writing emails,Video/Image generation,Significantly increased it,It can be easy to use it in a way that does not allow growth but it is all up to the users discretion. I personally love to use it because I can’t always go find someone who can help me when I find myself lost trying to complete school work. It is a great way to help me keep moving forward right away but its users do need to know that it can lie. Sometimes I find that it is not helpful at all as what I need help with is out of its scope. Having a good foundation of whatever you are trying to have it help you with is necessary but it can be super helpful.,Senior,Carson College of Business,0.9888,Positive
2025-11-10 17:51:02,2025-11-10 17:51:39,IP Address,67.183.129.183,100,36,True,2025-11-10 17:51:39,R_5a0SOPk96LpeRah,,,,,47.024,-122.7827,anonymous,EN,0.8999999761581421,"Yes, I consent",Yes,No,,,,,,,,,,,,,,,,,,Senior,College of Arts and Sciences,0.0,Neutral
2025-11-10 17:56:24,2025-11-10 17:56:35,IP Address,97.120.246.74,100,10,True,2025-11-10 17:56:35,R_5KU8NECfErbs8RR,,,,,45.5894,-122.7401,anonymous,EN,1.0,"Yes, I consent",No,Yes,,,,,,,,,,,,,,,,,,,,0.0,Neutral
2025-11-10 18:18:47,2025-11-10 18:21:20,IP Address,76.146.209.32,100,153,True,2025-11-10 18:21:21,R_5QMLYy9jIbU792H,,,,,47.3845,-122.0582,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),Gemini (Google),,Claude (Anthropic),,Multiple times a week,Daily,Writing or debugging code,,"Finding articles, links, or resources",Brainstorming ideas,,,,Significantly increased it,Long term may have an impact on my overall cognitive performance. We will need a brain gym in the future to stay in cognitive shape ,Senior,Voiland College of Engineering and Architecture,0.0,Neutral
2025-11-10 19:05:52,2025-11-10 19:06:11,IP Address,172.56.240.212,100,19,True,2025-11-10 19:06:11,R_1h3HlNIwlXpOEq4,,,,,32.7405,-117.0935,anonymous,EN,0.8999999761581421,"Yes, I consent",No,Yes,,,,,,,,,,,,,,,,,,,,0.0,Neutral
2025-11-10 19:10:38,2025-11-10 19:10:54,IP Address,169.197.143.204,100,15,True,2025-11-10 19:10:54,R_5mgUoXROrJmJaC1,,,,,47.6109,-122.3303,anonymous,EN,0.699999988079071,"Yes, I consent",No,Yes,,,,,,,,,,,,,,,,,,,,0.0,Neutral
2025-11-10 19:11:52,2025-11-10 19:12:02,IP Address,73.149.105.38,100,9,True,2025-11-10 19:12:02,R_5aCAtyIFxpGDbue,,,,,42.7648,-71.4398,anonymous,EN,1.0,"Yes, I consent",No,Yes,,,,,,,,,,,,,,,,,,,,0.0,Neutral
2025-11-10 19:29:04,2025-11-10 19:30:35,IP Address,199.231.118.89,100,90,True,2025-11-10 19:30:35,R_6p0fPLuP4s3XobL,,,,,47.6975,-116.7808,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),Gemini (Google),,,,Daily,About once a week,Writing or debugging code,,"Finding articles, links, or resources",,Understanding a complex topic or concept,Writing emails,,Slightly increased it,People (including me) are growing too reliant on it,Junior,Voiland College of Engineering and Architecture,0.296,Positive
2025-11-10 19:29:46,2025-11-10 19:31:22,IP Address,69.77.198.10,100,95,True,2025-11-10 19:31:22,R_78NFb3x6Us6l4D6,,,,,43.6204,-96.9414,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),,,,,Multiple times a week,Daily,,"Writing essays, reports, or other text","Finding articles, links, or resources",Brainstorming ideas,Understanding a complex topic or concept,Writing emails,,Significantly increased it,It’s great. Helps me finished the time consuming work with ease.,Senior,Carson College of Business,0.8481,Positive
2025-11-10 19:47:46,2025-11-10 19:48:40,IP Address,94.156.149.146,100,53,True,2025-11-10 19:48:40,R_3iEZHIrs2vM5hwl,,,,,47.6109,-122.3303,anonymous,EN,1.0,"Yes, I consent",Yes,Yes,Daily,ChatGPT (OpenAI),,,Claude (Anthropic),,Daily,Daily,Writing or debugging code,"Writing essays, reports, or other text",,Brainstorming ideas,,Writing emails,,Significantly increased it,,Senior,Voiland College of Engineering and Architecture,0.0,Neutral
2025-11-10 19:53:51,2025-11-10 19:54:06,IP Address,136.143.156.115,100,15,True,2025-11-10 19:54:07,R_1PpkDXNKV8QxJi9,,,,,47.4221,-120.3266,anonymous,EN,1.0,"Yes, I consent",No,Yes,,,,,,,,,,,,,,,,,,,,0.0,Neutral
2025-11-10 19:59:47,2025-11-10 20:00:02,IP Address,172.56.107.122,100,14,True,2025-11-10 20:00:02,R_1dGDAHHkoyMKO4r,,,,,47.2109,-122.4147,anonymous,EN,0.699999988079071,"Yes, I consent",No,Yes,,,,,,,,,,,,,,,,,,,,0.0,Neutral
